uen,registration_year,primary_ssic_code,postal_code
201735326Z,2017,47,408729
201801949H,2018,43,737856
201912029K,2019,81,728653
53396440K,2019,88,138946
53378549M,2018,70,179098
201926998D,2019,64,680517
201725213C,2017,46,179098
201843261K,2018,46,579667
201814445Z,2018,85,069113
53382859K,2018,74,259335
201825265K,2018,70,311131
201809251D,2018,88,079903
201820508H,2018,41,627607
T17LL2264A,2017,46,368026
53359242M,2017,43,539211
201929714W,2019,62,528559
53403630M,2019,52,735780
201916178D,2019,47,038989
201705143H,2017,82,573972
201912342D,2019,70,079903
201721598R,2017,71,731012
201905341D,2019,46,608526
201720710Z,2017,71,308899
T17LL1771D,2017,70,569139
53365766X,2017,96,058357
201707434D,2017,62,534167
201703349K,2017,38,534167
201802144N,2018,68,534167
201811363Z,2018,70,768160
201809560H,2018,46,160022
201907001C,2019,46,179098
201808436E,2018,47,627607
201811740Z,2018,47,627607
201812225M,2018,47,627607
201813120Z,2018,47,627607
201830517H,2018,47,627607
201841815E,2018,47,627607
201812990H,2018,64,627607
201836091K,2018,30,627607
201737227H,2017,79,637434
201807902Z,2018,46,627607
201822403M,2018,85,239693
201721975R,2017,85,239693
201728171K,2017,64,239693
201720881N,2017,64,239693
201717788M,2017,64,239693
53398146L,2019,47,520264
201734331C,2017,46,768162
201722226W,2017,70,650136
201942954Z,2019,95,737856
201724194D,2017,95,737856
201800816G,2018,43,728869
201925444G,2019,41,760389
201922160R,2019,85,627607
201922663C,2019,62,391010
201924215N,2019,71,039594
201913865K,2019,46,048619
201715578W,2017,70,787070
201829896M,2018,70,138679
201719727W,2017,82,059676
201939375E,2019,46,048623
53396536E,2019,47,389466
201717305Z,2017,77,159929
53353915C,2017,70,289843
53364941B,2017,49,400001
53397950A,2019,74,731890
201918636R,2019,70,138692
53394901K,2019,46,380051
201720009D,2017,46,179094
T17LL0564C,2017,69,179098
201911559E,2019,41,417819
201911557D,2019,56,417819
201727186C,2017,49,757022
201914476M,2019,69,308227
201836544M,2018,52,737855
53395303X,2019,42,680508
201710296R,2017,70,079903
53377921M,2018,52,169366
201703759C,2017,78,460219
53372482A,2017,78,618724
201901145M,2019,64,068602
201815435D,2018,46,757044
T18LL0530J,2018,85,218505
53359626B,2017,47,560429
53395392L,2019,43,309665
201838943M,2018,74,079903
201919912G,2019,62,051531
53391250D,2018,47,757022
53370700E,2017,30,349245
201928362E,2019,70,207628
53391558M,2018,43,408727
201812553M,2018,56,402001
201816233H,2018,62,180231
201839137D,2018,70,308900
201808296M,2018,72,048621
201928712Z,2019,46,308900
201943670N,2019,85,319261
201931012C,2019,70,199591
201820385H,2018,70,079716
53380093E,2018,77,530141
T17LL0549F,2017,78,538807
53371507E,2017,69,133028
201939848M,2019,85,048616
201711066E,2017,46,218309
T19LL0029G,2019,18,159308
53378482D,2018,46,038987
201821548R,2018,53,650324
201918503K,2019,46,768070
T19LL1007G,2019,96,640415
201932166Z,2019,46,049319
53374810X,2017,46,573969
53395380D,2019,95,530456
201834223Z,2018,85,238216
53388897B,2018,81,140154
53404708D,2019,43,349245
201832778W,2018,79,200804
53403714C,2019,78,510481
201918410R,2019,85,518136
201735610E,2017,95,079903
201810499C,2018,47,730573
201711105M,2017,70,659526
53360788D,2017,82,272005
201918244H,2019,52,189720
