postal_code,X_coord,Y_coord
600135,17578.65533,35113.35159
510241,42361.65907,39447.05703
640709,12544.1201,36078.26053
530526,34370.69301,39600.57933
540229,35504.65506,41177.06414
51531,29391.78071,29746.92265
520406,40517.09733,37767.63702
198725,30887.93159,31750.56852
680535,18052.4277,41473.00617
729933,19614.56927,42990.75935
169905,27693.22763,29367.1923
518183,42152.44035,39796.47115
349693,32657.85908,35196.33484
556115,31375.5094,36857.71847
596744,20926.27693,36042.27638
49712,29842.43802,29471.81982
828820,36861.89493,42159.08478
48545,29942.67078,29395.55028
751589,27159.6447,47926.15843
320002,29070.2638,34236.3854
309489,28338.03127,33387.01469
530650,33339.85941,39348.42823
439895,35608.78173,31711.45451
268893,25641.18295,33852.7263
729680,19231.26112,42264.95486
279062,22386.39511,32918.9627
389493,33928.47399,32889.91136
455243,38683.42113,32877.22293
169204,26793.75357,29343.98635
59413,29293.69146,29743.1248
415874,36151.75891,35632.46731
310008,30592.39896,35561.55708
339158,31729.12759,33054.06884
768130,26981.30298,47355.06632
670439,21005.22869,40555.77258
267952,24672.05408,33019.28227
609966,19033.44269,34530.53869
188655,30060.40764,31578.17643
650537,18825.29061,37467.42193
138684,22546.75943,31964.53042
809694,30002.02778,41133.52788
681690,18899.15069,42737.54841
408729,34328.76129,34966.26417
543301,34428.37813,41160.8823
99309,27024.12843,28776.767
730721,24337.18742,47306.45276
209208,31132.34505,32647.78883
731306,21523.93098,45758.81897
209264,30964.82855,32779.74922
465489,40396.76091,34058.89431
208450,30357.80093,32471.18226
601318,16614.08149,36639.11767
737855,24947.02688,46483.25029
627607,13004.70752,35119.34819
537475,35466.00078,39686.31924
199589,31450.45771,31595.33466
219806,29911.7409,32157.73156
506850,42816.72937,37539.55577
268719,23781.91839,32905.25293
328427,31679.21777,34415.29694
680152,19620.63603,40088.32667
528845,40285.47612,35893.03766
169876,28833.0475,29941.2724
760732,27668.12279,45640.88637
188307,29794.38951,31444.90641
737854,24821.92361,46303.16181
38986,30938.56699,30782.1728
85501,28872.25746,28787.86124
398984,33021.04105,32683.86751
238467,29044.07231,31274.27171
729505,17923.72699,43511.96682
537616,33875.32526,37378.54532
518164,42244.12924,40050.41584
728653,19548.80451,43386.5172
189721,30897.17904,31244.75885
530457,34975.5108,39884.43378
659802,19393.8715,37167.30373
573969,28028.23189,37851.7001
359967,31937.7178,36249.9603
380102,33464.5523,33633.01028
416623,37309.02479,34496.15968
737856,25060.78689,46626.20132
207226,30750.29302,32556.55656
408830,34504.82876,35082.71588
757695,25701.28839,49250.69738
159557,26593.07354,29204.07692
791468,33028.09645,42151.70111
408720,34718.82295,34404.0862
680284,17852.32325,40187.4525
560443,30453.94528,38675.71963
228149,29764.81729,31491.29361
139950,22800.43824,30902.46022
569139,29268.43068,40942.10374
757437,25877.69159,49400.57917
329557,29418.98445,34130.33614
207628,30829.86377,32074.50063
640814,12694.74188,36423.06268
415978,35712.14523,35490.14619
460139,39360.31571,34625.15613
669269,19586.32464,37234.95646
408731,34333.8303,34883.35983
218581,30074.82722,32427.08547
58358,29169.54694,29792.76263
658064,19747.85149,35677.42374
760629,28491.96719,44464.62891
207275,30538.64711,32444.09399
541215,34672.79718,41267.09341
597658,19691.23628,35075.53441
751366,26096.30322,47273.64923
680113,18829.55059,39991.20307
59676,29555.24332,29977.08957
228707,29561.30518,32092.58784
737783,22704.42069,45602.3927
530682,33834.84661,39513.31262
200801,31021.97193,32187.02816
520155,41899.06908,36315.90482
680568,18314.06915,41951.8243
521489,41816.5878,38154.08973
510228,42251.62823,39352.69947
189969,30278.78766,31635.87811
427531,35646.16905,32503.71962
596180,21359.4319,35856.63705
369546,33911.59762,35377.3165
438451,34696.97262,31282.02313
539212,34535.23277,37090.56698
544741,35656.36134,40286.71657
738094,24902.00661,47258.38218
389556,34005.70535,32955.85704
415938,35463.55104,35260.20292
338528,31402.27701,33791.04181
370034,34022.94333,34584.47342
651446,17524.80953,36943.82268
573968,28006.50795,37799.94603
600020,17449.68345,34002.97793
50336,29045.73605,29472.82242
510142,41975.93227,38389.5396
650298,18409.35346,36326.55074
569880,32682.00591,39989.33175
68898,29780.42918,29176.62301
729934,19850.87599,43329.52546
821323,35224.13571,43800.67877
207754,30748.89636,32221.1139
577206,28985.10882,37109.59528
367954,33603.74172,35415.73156
461043,38276.0829,34507.53614
82002,29033.54262,28634.732
209011,30948.20934,32888.74126
278639,22083.44286,33487.13846
169203,26761.91347,29270.94907
760749,28088.46279,45568.07238
88443,29158.31942,29150.90204
609964,19121.24429,34413.12201
69534,29767.11566,29218.42355
381122,33469.3075,33872.00089
730655,24098.24666,46567.48915
506893,42606.8136,37621.47383
486778,43109.23889,35088.86985
415875,36105.43537,35615.58713
787805,27318.05195,40707.4044
760288,28479.1615,46847.37483
465532,40564.07518,34587.86217
670477,21294.53889,41240.63529
199588,31545.01135,31679.36155
387429,32905.31368,32989.18118
489947,40864.43709,35550.03009
544211,35405.90939,40829.57195
428769,35947.17831,31739.74454
417938,35774.18864,34884.33092
367995,33956.64797,35162.71198
238714,28933.76721,31289.77603
425500,36595.93192,32680.09709
789095,28362.41044,41409.43635
278650,22681.89738,33902.70029
307957,28923.36229,33108.14595
544314,34224.80978,41482.47136
48624,29893.5394,29766.66642
518153,42031.01939,39837.97561
320122,30617.44518,33456.4433
560572,30520.72199,39141.73513
760121,27646.60095,46230.75111
530616,33591.39289,38990.08978
640221,14551.1907,36501.01969
560537,30196.9536,39688.16428
541338,34182.45757,42342.70486
509261,43496.98835,38351.67695
539211,34564.54677,37158.75666
339156,31643.43999,33257.40222
59300,29501.32938,29961.83441
408938,34838.17691,34108.95971
567761,32146.4235,39883.511
529945,41870.91759,36752.64813
188778,30693.04319,31388.83216
641670,13481.44515,36249.34864
321108,30900.68025,33763.45079
763318,29135.03138,46121.70579
159554,26428.10573,29244.87042
828748,36839.96702,41397.18351
609477,16882.43716,36353.63111
510774,39504.00228,39575.67335
460214,39037.11941,34234.33097
310061,30091.39546,35404.13094
627606,12853.79344,35118.96821
310111,29334.08572,35932.70782
761317,29109.89107,46245.89672
530242,34549.24718,37718.77196
521518,39692.63892,37606.48555
188061,30722.57711,31584.44935
768160,28983.43337,46516.817
